Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
1453-13396F,854610,UNITED FOR BETTER LIVING INC.,10000.00,RECIDIVISM REDUCTION GRANT,07/21/2014,1205.JUDICIAL ADVISORY COUNCIL,07/15/2014,07/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13396F.pdf),
1481-13449,726221,CERILLIANT CORP,8530.00,NIST ALCOHOLS,07/23/2014,1259.MEDICAL EXAMINER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13449.pdf),
1481-13668,814632,INTERPARK LLC,2720.00,SELF-PARK PARKING SPACES,07/23/2014,1016.IT SOLUTIONS,07/15/2014,07/14/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13668.pdf),
1411-13446,844361,CHICAGO PARTS AND SOUNDS LLC,34514.00,AFTERMARKET EQUIPMENT FOR 2014 FORD VEHICLES,07/25/2014,1210.OFFICE OF THE SHERIFF,07/24/2014,07/23/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13446.pdf),
1428-13580,844464,ADORAMA INC,40897.00,DIGITAL CAMERAS AND ACCESSORIES,07/25/2014,1259.MEDICAL EXAMINER,07/28/2014,07/27/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13580.pdf),
1435-13582,855281,DD AND S INC,43750.00,BODY BAGS,07/25/2014,1259.MEDICAL EXAMINER,08/01/2014,07/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1435-13582.pdf),
1441-13490,749959,PARADIGM SOLUTIONS INC,133000.00,DOCUMENT RECORDING SYSTEM,07/25/2014,1527.COUNTY RECORDER DOC. STRG. FND,04/01/2014,03/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13490.pdf),
1353-13173,855202,MANATRON INC,744138.00,DIGITAL IMAGING SERVICES - WARRANT BOOKS,07/30/2014,1534.TREASURER TAX SALES AUTOMATION,08/01/2014,12/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1353-13173.pdf),
1388-12983,819684,"DATABANK IMX, LLC",780660.00,RE-ENGINEERING AND ONBASE SYSTEM IMPLEMENTATION,07/30/2014,1050.BOARD OF REVIEW,08/01/2014,07/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1388-12983.pdf),
1428-13633,461703,K-FIVE CONSTRUCTION CORP,127686.00,BITUMINOUS MATERIALS (HOT PATCH) - SOUTH AREA 1,07/30/2014,1500.COUNTY HIGHWAY DEPARTMENT,07/28/2014,07/27/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13633.pdf),
1428-13634,461703,K-FIVE CONSTRUCTION CORP,120822.00,BITUMINOUS MATERIALS (HOT PATCH) - SOUTH AREA 2,07/30/2014,1500.COUNTY HIGHWAY DEPARTMENT,07/28/2014,07/27/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13634.pdf),
1430-13756,844795,"MEADE, INC",483450.00,FIBER OPTIC CONSTRUCTION SERVICES PHASE IV,07/30/2014,1009.ENTERPRISE TECHNOLOGY,08/01/2014,07/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13756.pdf),
1350-12461,759891,SUNGARD AVAILABILITY SERVICES LP,1364123.00,INFORMATION SECURITY RFP,07/30/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1350-12461.pdf),
1428-13237,854787,LANDMARK CONTRACTORS INC,2035543.00,KEDZIE AV & 139TH STREET IMPROVEMENTS,07/31/2014,1500.COUNTY HIGHWAY DEPARTMENT,06/25/2014,06/24/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13237.pdf),
1441-13528,824069,MAXIMUS CONSULTING SERVICES INC,76625.00,MAXIMUS CONSULTING SERVICES,07/31/2014,1014.BUDGET & MANAGEMENT SERVICES,07/24/2014,07/23/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13528.pdf),
1490-13849,855159,"INDEPENDENT STATIONERS, INC.",,OFFICE SUPPLIES,07/31/2014,1030.CHIEF PROCUREMENT OFFICER,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1490-13849.pdf),
1485-13273,830228,AZTECA SYSTEMS INC,173163.00,WORK ORDER & PERMIT MANAGEMENT,07/31/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13273.pdf),
1223-02297,855834,CROWN CASTLE USA INC,,COUNTY TOWER AND BUILDING ROOF REVENUE PROJECT     REQ. #102836   RFQ/P (2-STEP PROCUREMENT),08/04/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1223-02297.pdf),
1355-12898,849932,KONICA MINOLTA BUSINESS SOLUTIONS,164550.00,HIGH SPEED DIGITAL PRESS - B/W,08/05/2014,1011.OFFICE OF CHIEF ADMIN OFFICER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1355-12898.pdf),
1428-13632,462146,ARROW ROAD CONSTRUCTION CO INC,126515.00,BITUMINOUS MATERIALS (HOT PATCH) - NORTH AREA,08/06/2014,1500.COUNTY HIGHWAY DEPARTMENT,07/28/2014,07/27/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1428-13632.pdf),
1441-13615,853216,SANDEI CONSULTING CORP,125000.00,PROJECT: WARRANT BOOK,08/06/2014,1060.COUNTY TREASURER,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13615.pdf),
1430-13181,722257,PRICEWATERHOUSECOOPERS LLP,1704332.48,HEALTH & GROUP BENEFITS CONSULTING,08/07/2014,1014.BUDGET & MANAGEMENT SERVICES,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13181.pdf),
1426-13716,77028,ELLIS SYSTEMS CORP,6175.00,MAINTENANCE,08/11/2014,1130.RECORDER OF DEEDS,07/15/2014,07/14/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13716.pdf),
1426-13936,849521,"CALDWELL LETTER SERVICE, INC.",18685.00,NEWSLETTER,08/11/2014,1095.FIFTEENTH DISTRICT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13936.pdf),
1441-13623,740972,SYSTEM INNOVATORS INC,23880.00,REMITTANCE PROCESSING EXPANSIO,08/11/2014,1007.REVENUE,08/01/2014,07/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13623.pdf),
1488-13855,817912,PNC BANK,,E-PAYABLES CARD PROGRAM (REVENUE GENERATING),08/11/2014,1020.COUNTY COMPTROLLER,08/01/2014,07/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1488-13855.pdf),
1323-13201,855833,CBRE INC,203000.00,REAL ESTATE MANAGEMENT,08/12/2014,1027.OFFICE OF ECONOMIC DEVELOPMENT,08/15/2014,08/14/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1323-13201.pdf),
1384-13045,855862,OFFICE DEPOT INC,4919561.00,COUNTYWIDE OFFICE SUPPLY RFP,08/12/2014,COUNTYWIDE,08/01/2014,07/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1384-13045.pdf),
1423-13942,769460,MB REAL ESTATE,16667.00,CICERO WAREHOUSE PM,08/12/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1423-13942.pdf),
1450-13620,793497,"LYNCH CHICAGO, INC",423460.00,EMERGENCY RESPONSE TOW VEHICLE,08/13/2014,EMHS Homeland Security - 769,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1450-13620.pdf),
1485-13510,855171,ALERE SAN DIEGO D/B/A/ IMMUNALYSIS,27157.00,ELISA KITS,08/13/2014,1259.MEDICAL EXAMINER,07/08/2014,07/07/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13510.pdf),
1441-13737,836562,"YOUNG, DARTHULA L",12000.00,CONSULTANT SERVICES,08/20/2014,1081.FIRST DISTRICT,07/01/2014,10/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13737.pdf),
1425-13890,100033,OSA INTEGRATED SYSTEMS,16694.00,CABLE TV EQUIPMENT,08/21/2014,1016.IT SOLUTIONS,08/27/2014,09/30/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1425-13890.pdf),
1441-13419,842012,"NEXTSCAN, INC",9300.00,MAINTENANCE ON NEXTSCAN,08/22/2014,1130.RECORDER OF DEEDS,09/01/2014,08/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13419.pdf),
1445-13690,854693,BCR AUTO GROUP LLC D/B/A/ ROESCH FORD,25872.00,2014 FORD FUSION HYBRID FWD,08/22/2014,1524.COUNTY CLERK ELECTION DIV.FUND,07/28/2014,07/27/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13690.pdf),
1430-13531,92935,MIDWEST TRANSIT EQUIPMENT  INC,75687.00,2014 32 PASSENGER TRANSPORT BUS,08/22/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1430-13531.pdf),
1426-13744,846630,REPUBLIC SERVICES,3600.00,SCAVENGER SERVICE,08/26/2014,1532.ADULT PROBATION SERVICE FEE,12/01/2014,11/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13744.pdf),
1441-13654,853556,RC WILLIAMS POLYGRAPH,22560.00,POLYGRAPHER SERVICES,08/26/2014,1210.OFFICE OF THE SHERIFF,09/01/2014,01/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13654.pdf),
1445-13423,81559,"ANCHOR MECHANICAL, IUNC.",117300.00,MAINTENANCE OF REFRIGERATION EQUIPMENT,08/26/2014,1200.DEPT. OF FACILITIES/MGMT,07/01/2014,06/30/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13423.pdf),
1450-13622,793497,"LYNCH CHICAGO, INC",440173.00,EMERGENCY RESPONSE MOVER,08/26/2014,EMHS Homeland Security - 769,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1450-13622.pdf),
1411-13882,855672,ASSURESIGN LLC,15000.00,ON-SITE ELECTRONIC SIGNATURE SOFTWARE AND SERVICE SOLUTION,08/29/2014,1217.SHERIFF'S INFORMATION TECHNOLOGY,08/01/2014,07/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13882.pdf),
1426-13822,654180,MITCHELL INTERNATIONAL INC,20000.00,MEDICARE REPORTING SOLE SOURCE,08/29/2014,1542.SELF INSURANCE FUND,09/01/2014,08/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13822.pdf),
1441-13549,80235,SYSTEM DEVELOPMENT INTEGRATION INC,375000.00,TECHNOLOGY ASSESSMENT,08/29/2014,1570.GIS FEE FUND,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13549.pdf),
1481-13545,833021,INDI ENTERPRISES,24755.00,STEEL ANGLES,08/29/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13545.pdf),
1481-13685,854693,BCR AUTO GROUP LLC D/B/A/ ROESCH FORD,21101.00,CARGO VAN FORD E-150,08/29/2014,1541.SOCIAL SERVICE PROB & CRT FEE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13685.pdf),
1481-13692,855646,XTREME NATIONAL SERVICES INC,17126.00,LAUNDRY ROOM EQUIPMENT,08/29/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13692.pdf),
1481-13871,836393,IRIS LTD INC,11900.00,CUSTOM HOLOGRAPHIC LAMINATE ID,08/29/2014,1217.SHERIFF'S INFORMATION TECHNOLOGY,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13871.pdf),
1481-13721,734295,INTER PARKING,702.00,PARKING PASSES,08/29/2014,,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13721.pdf),
1426-13824,808015,NETWORK ENGINEERING GROUP,8000.00,KODAK EQUIPMENT MAINTENANCE,09/11/2014,1130.RECORDER OF DEEDS,09/01/2014,08/31/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13824.pdf),
1426-13833,839063,THE OFFICE LEADER,15384.00,OFFICE CHAIRS,09/16/2014,1009.ENTERPRISE TECHNOLOGY,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13833.pdf),
1445-13595,75873,STAR DETECTIVE & SECURITY AGENCY,65232.00,UNARMED SECURITY,09/16/2014,1529.CIRCUIT CRT. DOC. STORAGE FUND,10/01/2014,02/28/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13595.pdf),
1441-13610,463803,CUMMINS ALLISON CORP,39103.00,ANNUAL MAINTENANCE,09/17/2014,1335.CLERK OF CRCT CRT OFF.OF CLERK,09/15/2014,09/14/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13610.pdf),
1453-13765,739219,THRESHOLDS,138821.00,BOND COURT PILOT PROJECT,09/17/2014,1205.JUDICIAL ADVISORY COUNCIL,09/01/2014,02/28/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1453-13765.pdf),
1453-14084,855388,UMOJA STUDENT DEVELOPMENT CORPORATION,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14084.pdf),
1453-14085,750793,CHILDRENS HOME&AID SOCIETY OF ILLINOIS,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14085.pdf),
1453-14086,739224,ILLINOIS COLLABORATION ON YOUTH,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14086.pdf),
1453-14087,855665,THE MIRACLE CENTER INC,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14087.pdf),
1453-14088,92157,METROPOLITAN FAMILY SERVICES,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14088.pdf),
1453-14089,855683,ALTERNATIVE SCHOOLS NETWORK,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14089.pdf),
1453-14093,92142,BOYS & GIRLS CLUBS OF CHICAGO,100000.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14093.pdf),
1453-14109,840508,YOUTH SERVICE PROJECT,99940.00,VIOLENCE PREVENTION GRANTS,09/18/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14109.pdf),
1425-13704,853514,BLACK DOG CORPORATION,1412062.40,MEAT PRODUCTS,09/19/2014,1440.JUVENILE TEMPORARY DETENT.CNTR,10/01/2014,09/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1425-13704.pdf),
1426-13772,564302,PITNEY BOWES INC,4536.00,POSTAGE METER MAINTENANCE,09/19/2014,1280.ADULT PROBATION DEPT.,07/01/2014,06/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13772.pdf),
1426-13967,842888,DS WATERS OF AMERICA INC,7654.00,BOTTLED WATER,09/19/2014,1532.ADULT PROBATION SERVICE FEE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13967.pdf),
1441-13617,90175,"VERSEN,DONALD  SR",45000.00,CONSULTING SERVICES,09/19/2014,1534.TREASURER TAX SALES AUTOMATION,08/01/2014,07/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13617.pdf),
1318-13179,1101096,CORVEL HEALTHCARE CORPORATION,6000000.00,WORKERS' COMPENSATION CLAIMS ADMINISTRATOR,09/22/2014,COUNTYWIDE,10/01/2014,09/30/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1318-13179.pdf),
1455-13465,467439,KNIGHT E/A INC,4448770.00,DESIGN SERVICES FOR TOUHY AVENUE IMPROVEMENT,09/22/2014,1500.COUNTY HIGHWAY DEPARTMENT,10/01/2014,09/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1455-13465.pdf),
1411-13567,844361,CHICAGO PARTS AND SOUNDS LLC,23426.00,VEHICLE GRAPHICS,09/23/2014,1210.OFFICE OF THE SHERIFF,09/08/2014,09/07/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13567.pdf),
1441-13834,600357,NATIONAL INSTITUTE OF GOVERNMENT,70000.00,NIGP TRAINING FOR OCPO STAFF,09/24/2014,1030.CHIEF PROCUREMENT OFFICER,10/01/2014,09/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13834.pdf),
1453-14090,847585,NORTH LAWNDALE COLLEGE PREP,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14090.pdf),
1453-14091,755804,KUUMBA LYNX,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14091.pdf),
1453-14092,77262,STORYCATCHERS THEATRE,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14092.pdf),
1453-14094,847586,LAWNDALE CHRISTIAN LEGAL CENTER,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14094.pdf),
1453-14095,1100573,LATINOS PROGRESANDO,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14095.pdf),
1453-14096,855647,DEMOISELLE 2 FEMME,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14096.pdf),
1453-14097,814323,CENTER FOR DOMESTIC PEACE INC,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14097.pdf),
1453-14098,855863,AUSTIN CHILDCARE PROVIDERS' NETWORK,40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14098.pdf),
1453-14099,1100367,INTL. ASSN. FOR HUMAN VALUES (IAHV),40000.00,VIOLENCE PREVENTION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14099.pdf),
1453-14110,1100574,ST. AGATHA CATHOLIC CHURCH,40000.00,VIOLENCE PREVETION GRANTS,09/25/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14110.pdf),
1318-12620,462257,"ROLF JENSEN & ASSOCIATES, INC.",448129.56,CW FIRE & LIFE SAFETY SYSTEMS UPGRADES - PACKAGE 10,09/29/2014,1031.OFFICE OF ASSET MANAGEMENT,10/01/2014,09/30/2016,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1318-12620.pdf),
1441-13404,851687,PUBLIC ALLIES INC.,13374.00,PUBLIC ALLIES INTERN,09/29/2014,1205.JUDICIAL ADVISORY COUNCIL,12/09/2013,10/03/2014,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13404.pdf),
1411-13876,79570,WASHBURN MACHINERY INC,22200.00,"MAINTENANCE WASHERS,DRYERS",09/30/2014,1239.DEPARTMENT OF CORRECTIONS,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1411-13876.pdf),
1445-13725,94879,SENTRY SECURITY FASTENERS INC,21180.00,TAMPER PROOF KEY RINGS,09/30/2014,1200.DEPT. OF FACILITIES/MGMT,10/01/2014,09/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1445-13725.pdf),
1481-13740,774670,SPROVIERI'S CUSTOM COUNTERS,6250.00,SHOWER BASE,09/30/2014,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13740.pdf),
1481-13831,76616,MEADOWS OFFICE SUPPLY & EQUIPMENT,8618.00,LAB STOOLS & CHAIRS,09/30/2014,1259.MEDICAL EXAMINER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13831.pdf),
1481-13836,806684,PRODUCTS UNLIMITED INC,16712.00,AUTO WRITE SLIDE PRINTER,09/30/2014,1259.MEDICAL EXAMINER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1481-13836.pdf),
1453-14100,846969,INSPIRATION CORPORATION,9994.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14100.pdf),
1453-14101,855723,SOUTH SHORE DRILL TEAM & PERFORMING ARTS,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14101.pdf),
1453-14102,855725,GUIDE RIGHT ORGANIZATION,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14102.pdf),
1453-14103,833471,RESPOND NOW INC,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14103.pdf),
1453-14104,819360,WOODLAWN EAST COMMUNITY & NEIGHBORS,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14104.pdf),
1453-14105,854645,CHICAGO LAWYERS COMMITTEE FOR CIVIL RIGH,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14105.pdf),
1453-14106,821594,NEW LIFE CENTERS OF CHICAGOLAND,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14106.pdf),
1453-14107,855877,ALLIANCE OF THE SOUTHEAST,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14107.pdf),
1453-14108,855685,ST. JOSEPH'S SERVICES,10000.00,VIOLENCE PREVENTION GRANTS,09/30/2014,1205.JUDICIAL ADVISORY COUNCIL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1453-14108.pdf),
11-50-86,,OPEN KITCHENS INC,,FOOD SERVICE,10/02/2014,1230.COURT SERVICES DIVISION,10/04/2014,11/03/2014,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-50-86-A2.pdf),
1441-13675,564302,PITNEY BOWES INC,3966.00,PITNEY BOWES MACHINE,10/02/2014,1130.RECORDER OF DEEDS,07/01/2014,06/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1441-13675.pdf),
1485-13790,803323,COMMUNITY JUSTICE FOR YOUTH INSTITUTE,88713.00,RESTORATIVE JUSTICE,10/02/2014,Expressway Construction - 630,09/01/2014,08/31/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13790.pdf),
1426-13773,564302,PITNEY BOWES INC,6480.00,RENTAL OF POSTAGE METERS,10/06/2014,1280.ADULT PROBATION DEPT.,07/01/2014,06/30/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1426-13773.pdf),
1485-13471,802465,HLP INC,13680.00,ANNUAL MAINTENANCE & SUPPORT,10/06/2014,1510.ANIMAL CONTROL DEPARTMENT,02/01/2014,01/31/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1485-13471.pdf),
1330-13167,842585,"THE PRAIRIE GROUP CONSULTING, INC.",110900.00,COMMUNITY OUTREACH AND PUBLIC AWARENESS CAMPAIGN SERVICES,10/07/2014,1130.RECORDER OF DEEDS,10/14/2014,10/13/2015,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1330-13167.pdf),
