Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Home Health,COUNTY,NC,Wake,82598,19,331.9,7.6%,19,No,ORANGE 5,GREEN 5,"Extreme Values (More than 24,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 16 Providers)
Home Health,COUNTY,NC,Warren,3409,5,49.6,7.3%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Washington,2912,2,83.5,5.7%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Watauga,6248,2,248.5,8%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NC,Wayne,18814,7,218.4,8.1%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Wilkes,10339,5,134.8,6.5%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Wilson,15441,8,160.1,8.3%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NC,Yadkin,3906,7,49.1,8.8%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 3,GREEN 3,Third Lowest 25% (7.3 - 9.2% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,NC,Yancey,3904,2,135.5,6.9%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Barnes,2074,2,71,6.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Benson,923,2,13,2.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Burleigh,11670,3,171.7,4.4%,3,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Cass,16380,4,186,4.5%,4,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (11,046 - 24,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (4 - 7 Providers)
Home Health,COUNTY,ND,Cavalier,951,0,,1.7%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Dickey,995,2,23.5,4.7%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Eddy,514,1,23,4.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Emmons,756,1,24,3.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Foster,654,1,24,3.7%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Grand Forks,7782,3,90.7,3.5%,3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Grant,527,1,19,3.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Griggs,581,1,20,3.4%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,LaMoure,809,2,26,6.4%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Logan,389,1,14,3.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,McHenry,1064,0,,1.8%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,McIntosh,690,1,22,3.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,McLean,1934,1,65,3.4%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Mercer,1407,1,47,3.3%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Morton,4105,2,87,4.2%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Nelson,946,1,24,2.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Oliver,335,0,,4.5%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Pembina,1466,1,42,2.9%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Pierce,726,0,,2.3%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Ramsey,2417,2,34,2.8%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Ransom,1060,2,31,5.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Richland,2336,2,73,6.3%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Rolette,1660,1,28,1.7%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Sargent,777,2,21,5.4%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,ND,Stark,3761,1,118,3.1%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Steele,397,0,,3.8%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Stutsman,3269,1,181,5.5%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Traill,1366,1,59,4.3%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Walsh,2200,1,84,3.8%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Ward,7965,1,250,3.1%,1,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Wells,1217,1,42,3.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,ND,Williams,3387,1,132,3.9%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Adams,6143,2,153.5,5%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NE,Antelope,1493,1,36,2.4%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Boone,1173,1,40,3.4%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Box Butte,2023,1,30,1.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Buffalo,6504,2,153,4.7%,2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,498 - 11,045 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (135 - 266 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NE,Burt,1585,1,95,6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Butler,1736,2,26,3%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
Home Health,COUNTY,NE,Cass,4032,9,30.2,6.7%,9,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (8 - 16 Providers)
Home Health,COUNTY,NE,Cedar,1470,1,38,2.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Chase,843,1,17,2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Cherry,1305,1,26,2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Cheyenne,1770,1,103,5.8%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (74 - 134 Users),ORANGE 2,GREEN 2,Second Lowest 25% (5.5 - 7.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Clay,1381,1,31,2.2%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Colfax,1343,1,35,2.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Cuming,1971,1,57,2.9%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,225 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (46 - 73 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 2 Providers)
Home Health,COUNTY,NE,Custer,2438,2,43,3.5%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,225 - 4,497 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 46 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 5.5% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (2 - 3 Providers)
